block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_400022,0,05,0,1,5 SOUTH CEDAR - DOWNTOWN,43506,5_merged_3142136,3100869,
a_400254,0,14,0,0,14 N GRAND RIVER - OLD TOWN - CAPITAL CITY AIRPORT,43543,20_merged_3142130,3104529,
b_401359,0,33_merged_3142126,0,1,33 SOUTH NEIGHBORHOOD,43716,1_merged_3142145,3124254,
b_401360,0,33_merged_3142126,0,1,33 SOUTH NEIGHBORHOOD,43716,1_merged_3142145,3124255,
b_401073,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,43680,9_merged_3142149,3116310,
b_401073,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,43680,9_merged_3142149,3116311,
b_401073,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,43680,9_merged_3142149,3116312,
b_401073,0,15,0,0,15 E KALAMAZOO - LAKE LANSING MEIJER,43680,9_merged_3142149,3116313,
b_401072,0,15,0,1,15 E KALAMAZOO - DOWNTOWN LANSING,43681,9_merged_3142149,3116314,
b_401072,0,15,0,1,15 E KALAMAZOO - DOWNTOWN LANSING,43681,9_merged_3142149,3116315,
b_401072,0,15,0,1,15 E KALAMAZOO - DOWNTOWN LANSING,43681,9_merged_3142149,3116316,
b_401072,0,15,0,1,15 E KALAMAZOO - DOWNTOWN LANSING,43681,9_merged_3142149,3116317,
b_401072,0,15,0,1,15 E KALAMAZOO - DOWNTOWN LANSING,43681,9_merged_3142149,3116318,
b_401072,0,15,0,1,15 E KALAMAZOO - DOWNTOWN LANSING,43681,9_merged_3142149,3116319,
b_401132,0,17_merged_3142125,0,0,17 GRAB & GO - DOWNTOWN,43685,1_merged_3142145,3117049,
b_401131,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117048,
b_401130,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117047,
b_401131,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117046,
b_401130,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117045,
b_401131,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117044,
b_401130,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117043,
b_401131,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117042,
b_401130,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117041,
b_401131,0,17_merged_3142125,0,1,17 GRAB & GO - OLD TOWN,43686,5_merged_3142147,3117040,
a_400108,0,08,0,0,8 PENNSYLVANIA - HOLT,43517,4_merged_3142137,3102166,
a_400109,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43521,4_merged_3142137,3102167,
a_400108,0,08,0,0,8 PENNSYLVANIA - HOLT,43517,4_merged_3142137,3102164,
a_400109,0,08,0,0,8 PENNSYLVANIA - HOLT,43517,4_merged_3142137,3102165,
a_400108,0,08,0,0,8 PENNSYLVANIA - HOLT,43517,4_merged_3142137,3102162,
a_400109,0,08,0,0,8 PENNSYLVANIA - HOLT,43517,4_merged_3142137,3102163,
a_400110,0,08,0,0,8 PENNSYLVANIA - HOLT,43517,4_merged_3142137,3102160,
a_400109,0,08,0,0,8 PENNSYLVANIA - HOLT,43517,4_merged_3142137,3102161,
a_400108,0,08,0,1,8 MEIJER S PENN,43520,4_merged_3142137,3102168,
a_400109,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43521,4_merged_3142137,3102169,
b_401378,0,39,0,1,CATA TRANSPORTATION CENTER,43726,10_merged_3142140,3125344,
b_401156,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117599,
b_401157,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117598,
b_401156,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117591,
b_401154,0,22,0,1,22 OKEMOS-MSU,43693,16_merged_3142144,3117590,
b_401157,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117593,
b_401157,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117592,
b_401156,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117595,
b_401157,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117594,
b_401156,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117597,
b_401157,0,22,0,0,22 HASLETT - MERIDIAN MALL,43692,10_merged_3142140,3117596,
a_400119,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102290,
a_400120,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102291,
a_400121,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102292,
a_400118,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102293,
a_400119,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102294,
a_400120,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102295,
a_400121,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102296,
a_400118,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102297,
a_400119,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102298,
a_400121,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,20_merged_3142130,3102299,
a_399950,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099769,
a_399949,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099768,
a_399951,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099767,
a_399950,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099766,
a_399949,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099765,
a_399950,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099764,
a_399949,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099763,
a_399950,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099762,
a_399949,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099761,
a_399950,0,02,0,1,2  SOUTH WASHINGTON/DOWNTOWN,43493,1_merged_3142134,3099760,
a_400170,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102834,
a_400172,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102835,
a_400170,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102836,
a_400172,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102837,
a_400169,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102830,
a_400170,0,09,0,0,9 S MARTIN L KING - S PENN MEIJER,43525,20_merged_3142130,3102831,
a_400168,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102832,
a_400170,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102833,
b_400706,0,01,0,0,1 MERIDIAN MALL,43617,9_merged_3142149,3110060,
b_400708,0,01,0,0,1 MERIDIAN MALL,43617,9_merged_3142149,3110061,
b_400709,0,01,0,0,1 MERIDIAN MALL,43617,9_merged_3142149,3110062,
b_400711,0,01,0,0,1 MERIDIAN MALL,43617,9_merged_3142149,3110063,
a_400169,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102838,
a_400170,0,09,0,0,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,43523,20_merged_3142130,3102839,
b_400706,0,01,0,0,1 MERIDIAN MALL,43617,9_merged_3142149,3110066,
b_400708,0,01,0,0,1 MERIDIAN MALL,43617,9_merged_3142149,3110067,
b_401366,0,35,0,0,35 WILSON/HOLDEN - SPARTAN VILLAGE,43721,18_merged_3142143,3124517,
a_399994,0,03,0,1,3 WILLOW - CAPITOL LOOP - DOWNTOWN,43496,20_merged_3142130,3100478,
a_399993,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100479,
a_399994,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100476,
a_399993,0,03,0,1,3 WILLOW - CAPITOL LOOP - DOWNTOWN,43496,20_merged_3142130,3100477,
a_399994,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100474,
a_399993,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100475,
a_399994,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100472,
a_399993,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100473,
a_399994,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100470,
a_399993,0,03,0,1,3 WILLOW - DOWNTOWN,43499,20_merged_3142130,3100471,
b_401367,0,35,0,0,35 WILSON/HOLDEN - SPARTAN VILLAGE,43721,18_merged_3142143,3124516,
b_400909,0,07,0,0,7 AURELIUS - MILLER,43647,1_merged_3142145,3113375,
b_401022,0,10,0,1,10 NORTH LANSING  - DOWNTOWN,43663,5_merged_3142147,3114769,
b_401022,0,10,0,1,10 NORTH LANSING  - DOWNTOWN,43663,5_merged_3142147,3114768,
b_401022,0,10,0,1,10 NORTH LANSING  - DOWNTOWN,43663,5_merged_3142147,3114767,
b_401022,0,10,0,0,10 NORTH LANSING - TURNER,43661,5_merged_3142147,3114766,
b_401022,0,10,0,0,10 NORTH LANSING - TURNER,43661,5_merged_3142147,3114765,
b_401022,0,10,0,0,10 NORTH LANSING - TURNER,43661,5_merged_3142147,3114764,
b_401022,0,10,0,0,10 NORTH LANSING - TURNER,43661,5_merged_3142147,3114763,
b_400855,0,10,0,0,10 NORTH LANSING - TURNER,43661,5_merged_3142147,3114762,
b_401022,0,10,0,0,10 NORTH LANSING - TURNER,43661,5_merged_3142147,3114761,
b_401022,0,10,0,0,10 NORTH LANSING - TURNER,43661,5_merged_3142147,3114760,
b_400908,0,07,0,0,7 AURELIUS - MILLER,43647,1_merged_3142145,3113374,
b_400803,0,03,0,0,3 WILLOW - WAVERLY,43627,10_merged_3142140,3111739,
b_400802,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111738,
b_400803,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111737,
b_400803,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111736,
b_400803,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111735,
b_400802,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111734,
b_400803,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111733,
b_400802,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111732,
b_400803,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111731,
b_400802,0,03,0,0,3 WILLOW - LANSING MALL,43628,10_merged_3142140,3111730,
b_401367,0,35,0,0,35 WILSON/HOLDEN - SPARTAN VILLAGE,43721,18_merged_3142143,3124512,
b_400847,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112428,
b_400848,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112429,
b_400851,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112422,
b_400847,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112423,
b_400849,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112420,
b_400846,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112421,
b_400846,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112426,
b_400851,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112427,
b_400848,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112424,
b_400849,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,9_merged_3142149,3112425,
b_400810,0,03,0,1,3 WILLOW - CAPITOL LOOP - DOWNTOWN,43629,5_merged_3142147,3111889,
b_400811,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111888,
b_400783,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111881,
b_400810,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111880,
b_400810,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111883,
b_400811,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111882,
b_400810,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111885,
b_400811,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111884,
b_400810,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111887,
b_400811,0,03,0,1,3 WILLOW - DOWNTOWN,43632,5_merged_3142147,3111886,
b_401380,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125503,
b_401379,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125502,
b_401380,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125501,
b_401379,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125500,
b_401380,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125507,
b_401379,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125506,
b_401380,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125505,
b_401379,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125504,
b_401380,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125509,
b_401379,0,39,0,1,CATA TRANSPORTATION CENTER,43726,9_merged_3142149,3125508,
b_401746,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128153,
b_401747,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128152,
b_401746,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128151,
b_401746,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128150,
b_401747,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128157,
b_401746,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128156,
b_401747,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128155,
b_401746,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128154,
b_401747,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128159,
b_401746,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,9_merged_3142149,3128158,
b_400840,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112288,
b_400839,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112289,
b_400842,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43635,10_merged_3142140,3112286,
b_400839,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112287,
b_400839,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112284,
b_400842,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112285,
b_400839,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112282,
b_400841,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112283,
b_400839,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43635,10_merged_3142140,3112280,
b_400840,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,43636,10_merged_3142140,3112281,
b_400942,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113779,
b_400941,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113778,
b_400942,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113771,
b_400941,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113770,
b_400944,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113773,
b_400943,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113772,
b_400942,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113775,
b_400941,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113774,
b_400944,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113777,
b_400943,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43654,1_merged_3142145,3113776,
b_401092,0,14,0,1,14 N GRAND RIVER - OLD TOWN - DOWNTOWN,43678,1_merged_3142145,3116057,
b_401094,0,14,0,1,14 N GRAND RIVER - OLD TOWN - DOWNTOWN,43678,1_merged_3142145,3116056,
b_401092,0,14,0,1,14 N GRAND RIVER - OLD TOWN - DOWNTOWN,43678,1_merged_3142145,3116055,
